DATE;OPEN;HIGH;LOW;CLOSE
09.01.2020;255.6600000;256.6800000;251.8200000;254.0700000
10.01.2020;253.9900000;254.6000000;251.2000000;251.9000000
13.01.2020;252.5000000;252.5000000;248.4000000;251.5000000
14.01.2020;252.0000000;253.2000000;249.0000000;250.0000000
15.01.2020;249.5000000;252.5000000;247.7500000;251.3000000
16.01.2020;251.8700000;254.5400000;251.5000000;254.2600000
17.01.2020;254.7600000;256.6000000;253.8000000;255.3900000
20.01.2020;255.6500000;256.1000000;253.0100000;253.5000000
21.01.2020;253.3700000;253.4000000;250.8800000;252.9900000
22.01.2020;252.8100000;253.3900000;248.1000000;248.1000000
23.01.2020;246.9000000;247.6600000;239.0100000;239.3000000
24.01.2020;240.1200000;243.2500000;235.2800000;237.9500000
27.01.2020;235.0100000;235.4000000;229.6500000;230.9600000
28.01.2020;232.6100000;237.5900000;229.0000000;235.0000000
29.01.2020;236.9000000;237.3600000;231.3000000;232.0000000
30.01.2020;230.7000000;232.4900000;229.4500000;231.5300000
31.01.2020;232.5300000;233.7900000;226.5700000;226.7000000
03.02.2020;223.8100000;229.9800000;223.8000000;227.6400000
04.02.2020;228.4700000;231.0800000;226.6500000;230.5000000
05.02.2020;230.8900000;235.7300000;228.8000000;232.5600000
06.02.2020;234.0400000;236.0000000;230.1500000;231.3800000
07.02.2020;232.3800000;233.3900000;227.1400000;229.1100000
10.02.2020;228.5800000;229.7500000;224.4100000;225.2000000
11.02.2020;226.5600000;236.1800000;226.0100000;233.9000000
12.02.2020;235.2000000;239.8000000;234.5600000;238.0300000
13.02.2020;236.9000000;237.9800000;233.5500000;233.5500000
14.02.2020;233.7900000;235.4000000;230.9100000;232.5000000
17.02.2020;233.4000000;234.5600000;231.9100000;233.7500000
18.02.2020;232.9700000;233.2800000;229.8000000;230.5000000
19.02.2020;231.8400000;233.5000000;230.7100000;231.9000000
20.02.2020;232.5500000;235.7500000;232.0000000;234.6000000
21.02.2020;233.2000000;233.7700000;231.6100000;232.0000000
25.02.2020;227.9900000;230.0600000;224.6800000;224.6800000
26.02.2020;223.3200000;225.4700000;220.8100000;224.7600000
27.02.2020;220.9900000;223.4000000;216.8000000;217.5000000
28.02.2020;210.0000000;211.9700000;200.5700000;202.6500000
02.03.2020;207.9900000;211.9900000;195.5100000;198.7800000
03.03.2020;204.7800000;205.2700000;198.0000000;201.4800000
04.03.2020;199.9000000;204.4200000;198.2800000;200.0000000
05.03.2020;203.0000000;203.4300000;197.5000000;198.0000000
06.03.2020;193.4900000;194.2300000;185.1300000;188.2700000
10.03.2020;169.4500000;185.8400000;161.0100000;171.0000000
11.03.2020;173.9800000;175.8700000;167.3900000;172.0300000
12.03.2020;163.4000000;167.8000000;161.2000000;163.7300000
13.03.2020;164.0800000;175.6900000;164.0200000;166.1000000
16.03.2020;163.5600000;169.9900000;158.1700000;168.0700000
17.03.2020;168.9600000;175.5000000;164.5600000;167.0000000
18.03.2020;164.9000000;170.4500000;162.0000000;166.3400000
19.03.2020;168.7700000;175.2000000;164.0500000;174.5600000
20.03.2020;179.9800000;184.6900000;176.1000000;176.2600000
23.03.2020;171.0300000;172.2800000;168.0400000;168.3500000
24.03.2020;174.3600000;179.9900000;172.6100000;177.9500000
25.03.2020;182.8000000;186.9000000;175.2600000;180.2000000
26.03.2020;179.4500000;184.9000000;177.2800000;181.5000000
27.03.2020;181.2000000;181.3700000;172.0000000;174.5000000
30.03.2020;171.9900000;177.6300000;170.5000000;176.4400000
31.03.2020;178.5000000;184.6400000;178.0100000;181.4100000
01.04.2020;178.0500000;181.3800000;177.5000000;180.0600000
02.04.2020;183.8000000;190.0000000;180.2500000;187.0400000
